ALAT KESEHATAN,CONCOR 5 MG,TABLET,1425,0,0,AS,KE,013,ME,2012-01-01,00:00:00,2019-01-09,23:59:59
ALAT KESEHATAN,Infus set(ASKES),PCS,17394,0,0,AS,KE,011,OT,2012-05-01,00:00:00,2020-04-30,23:59:59
ALAT KESEHATAN,SILK NO 3- 0 / METER,M,9600,0,0,AS,KE,012,OT,2012-05-01,00:00:00,2020-12-31,23:59:59
ALKES,1-60 T CONNECTOR,PCS,114290,0,0,KE,KE,750,MR,2017-01-01,00:00:00,2022-05-08,23:59:59
ALKES,1/3 TUBULAR 4 HOLE,PCS,459800,0,0,KE,KE,642,OT,2016-02-04,00:00:00,2021-02-02,00:00:00
ALKES,1/3 TUBULAR HOLE 7,PCS,1336500,0,0,KE,KE,655,OT,2016-06-28,00:00:00,2021-06-27,00:00:00
ALKES,23 GA TOTAL PAK ALCON,PCS,7150000,0,0,KE,KE,628,AL,2015-01-01,00:00:00,2020-08-31,23:59:59
ALKES,7 X 30 MM PEEK CF INTERFERENCE SCREW,PCS,7700000,0,0,KE,KE,890,OT,2018-01-01,00:00:00,2023-02-19,23:59:59
ALKES,ABBOCATH NO. 14,PCS,21450,0,0,KE,KE,001,E6,2012-05-01,00:00:00,2020-12-31,23:59:59
ALKES,ADHESSIVE TAPES STEAM -2VPSATS5E,ROL,64648,0,0,KE,KE,681,OT,2016-11-24,00:00:00,2021-11-23,00:00:00
ALKES,AMALGAM STOPPER,PCS,258500,0,0,KE,KE,536,OT,2014-11-01,00:00:00,2020-01-21,23:59:59
ALKES,APD SET (PAKET),PACK,137500,0,0,KE,KE,424,OT,2012-09-01,00:00:00,2020-12-31,23:59:59
ALKES,APPLICATOR UNTUK CPAP,PCS,2112000,0,0,KE,KE,697,ST,2017-10-18,00:00:00,2022-10-17,00:00:00
ALKES,BLOOD SET,PCS,21780,0,0,KE,KE,024,E6,2018-05-29,00:00:00,2023-05-28,00:00:00
ALKES,ARMSLING NO. L,PCS,84317,0,0,KE,KE,429,BS,2017-06-09,00:00:00,2022-06-08,00:00:00
ALKES,ARMSLING NO. L,PCS,15840,0,0,KE,KE,429,OT,2018-03-20,00:00:00,2023-03-19,00:00:00
