OBAT,D5 PYGGBACK OTSUKA 100 ML,,,,,,,1-1723,,,,,,,,,,,16696.68,12649
OBAT,SERETIDE 125,,,,,,,1-1723,,,,,,,,,,,201300,152460
OBAT,DOPAMIN GIULINI INJEKSI,,,,,,,1-1724,,,,,,,,,,,105618.48,80014
OBAT,TOMIT TAB,,,,,,,1-1724,,,,,,,,,,,1122,850
OBAT,"EPINEPHRINE 0,1% INJEKSI",,,,,,,1-1725,,,,,,,,,,,4218.72,3196
OBAT,PHENOBARBITAL 30 MG,,,,,,,1-1725,,,,,,,,,,,960,662
OBAT,GASTRIDIN INJEKSI,,,,,,,1-1726,,,,,,,,,,,29080.92,22031
OBAT,FLADEX,,,,,,,1-1726,,,,,,,,,,,9283.56,7033
OBAT,INFUSAN D5 + 14 NS 500 ML SANBE,,,,,,,1-1727,,,,,,,,,,,29007,21975
OBAT,TROMBOFIT,,,,,,,1-1727,,,,,,,,,,,7920,6000
OBAT,INFUSAN D5% 500 ML SANBE,,,,,,,1-1728,,,,,,,,,,,28724.52,21761
OBAT,SPORETIK 200 MG KAPSUL,,,,,,,1-1728,,,,,,,,,,,40438.2,30635
OBAT,INFUSAN NS PYGGYBACK 100ML SANBE,,,,,,,1-1729,,,,,,,,,,,24484.68,18549
OBAT,CARDIO ASPIRIN TAB,,,,,,,1-1729,,,,,,,,,,,2046,1550
OBAT,KALMETHASON AMPUL 5 MG1 ML,,,,,,,1-1730,,,,,,,,,,,11008.8,8340
OBAT,MAYO TUBE 1 RUSCH,,,,,,,1-1730,,,,,,,,,,,143220,108500
OBAT,KALMETHASON VIAL 20 MG  5 ML,,,,,,,1-1731,,,,,,,,,,,38529.48,29189
OBAT,VETERBAND,,,,,,,1-1731,,,,,,,,,,,33000,20000
OBAT,"KCL 7,46% INJEKSI",,,,,,,1-1732,,,,,,,,,,,4003.56,3033
OBAT,N-EPI 1 MG INJ,,,,,,,1-1732,,,,,,,,,,,130680,99000
OBAT,KUTOIN INJEKSI,,,,,,,1-1733,,,,,,,,,,,128854.44,97617
ALAT KESEHATAN,TERMOMETER KULKAS DIGITAL,,,,,,,1-1733,,,,,,,,,,,152460,55500
OBAT,"MEROSAN 0,5 G INJEKSI",,,,,,,1-1734,,,,,,,,,,,399614.16,302738
OBAT,ACTAPIN 5 MG,,,,,,,1-1734,,,,,,,,,,,1320,1400
OBAT,METRONIDAZOLE INFUS 100 ML,,,,,,,1-1735,,,,,,,,,,,36694.68,27799
ALAT KESEHATAN,SENDOK OBAT 10,,,,,,,1-1735,,,,,,,,,,,660,300
OBAT,"MEYLON 8,4% INJEKSI",,,,,,,1-1736,,,,,,,,,,,13755.72,10421
OBAT,AMIODARON INJ,,,,,,,1-1736,,,,,,,,,,,41910,31750
OBAT,MIKASIN 250 MG INJEKSI,,,,,,,1-1737,,,,,,,,,,,153419.64,116227
ALAT KESEHATAN,FOLLEY CATHETER 14 GEA,,,,,,,1-1737,,,,,,,,,,,11180.4,8470
OBAT,MILOZ 5 MG INJEKSI,,,,,,,1-1738,,,,,,,,,,,32107.68,24324
OBAT,XEVOLAC INJ,,,,,,,1-1738,,,,,,,,,,,47916,36300
OBAT,NEO K INJEKSI,,,,,,,1-1739,,,,,,,,,,,19265.4,14595
ALAT KESEHATAN,AUTOCLAVE TAPE 12 3M,,,,,,,1-1739,,,,,,,,,,,205260,155500
OBAT,"NS 0,9% OTSUKA 500 CC",,,,,,,1-1740,,,,,,,,,,,15178.68,11499
ALAT KESEHATAN,IV CANULA 24 COSMOMED,,,,,,,1-1740,,,,,,,,,,,8449.19,6400.9
OBAT,PENTHAL INJEKSI,,,,,,,1-1741,,,,,,,,,,,13761,10425
OBAT,POVIDON 1 L,,,,,,,1-1741,,,,,,,,,,,81457.2,61710
OBAT,RANTIN INJEKSI,,,,,,,1-1742,,,,,,,,,,,33026.4,25020
ALAT KESEHATAN,LEUKOPLAST 1625 H (0.5 X 5),,,,,,,1-1742,,,,,,,,,,,9497.53,7195.1
OBAT,RL OTSUKA 500 ML,,,,,,,1-1743,,,,,,,,,,,16513.2,12510
OBAT,VOLTAREN 25 MG,,,,,,,1-1743,,,,,,,,,,,5247,3975
OBAT,SAGESTAM INJEKSI,,,,,,,1-1744,,,,,,,,,,,14652,11100
ALAT KESEHATAN,SARUNG TANGAN STERIL G. COLOG,,,,,,,1-1744,,,,,,,,,,,34980,18800
OBAT,STERIL WATER 1000 ML,,,,,,,1-1745,,,,,,,,,,,18164.52,13761
OBAT,VOMISTOP FT TAB,,,,,,,1-1745,,,,,,,,,,,5082,3850
OBAT,TAMOLIF INFUS,,,,,,,1-1746,,,,,,,,,,,86190.72,65296
ALAT KESEHATAN,LYOSTYPT 5 X 8 CM,,,,,,,1-1746,,,,,,,,,,,175401.6,132880
OBAT,"TAXEGRAM 0,5G INJEKSI",,,,,,,1-1747,,,,,,,,,,,102783.12,77866
ALAT KESEHATAN,CELEMEK PLASTIK,,,,,,,1-1747,,,,,,,,,,,5742,4350
OBAT,TAXEGRAM 1G INJEKSI,,,,,,,1-1748,,,,,,,,,,,201755.4,152845
OBAT,CHORAMPECORT-H KRIM,,,,,,,1-1748,,,,,,,,,,,16698,12650
OBAT,ULSIKUR INJEKSI,,,,,,,1-1749,,,,,,,,,,,12475.32,9451
OBAT,CHILMIL SOYA 600,,,,,,,1-1749,,,,,,,,,,,231132,175100
OBAT,URESIX INJEKSI,,,,,,,1-1750,,,,,,,,,,,12540,9500
OBAT,LASMALIN TAB,,,,,,,1-1750,,,,,,,,,,,1782,1350
OBAT,"VICCILIN SX 1,5 INJEKSI",,,,,,,1-1751,,,,,,,,,,,94983.24,71957
,CUSSON POWDER 350 BIRU,,,,,,,1-1751,,,,,,,,,,,21384,16200
OBAT,VITAMIN A INJEKSI,,,,,,,1-1752,,,,,,,,,,,2501.4,1895
OBAT,NUFAPREG TABLET,,,,,,,1-1752,,,,,,,,,,,6204,4700
OBAT,WATER FOR INJECTION 25 ML,,,,,,,1-1753,,,,,,,,,,,4403.52,3336
OBAT,VOMCERAN TABLET,,,,,,,1-1753,,,,,,,,,,,22713,17213.3
OBAT,CLANEKSI INJEKSI,,,,,,,1-1754,,,,,,,,,,,142428,107900
OBAT,ASPAR-K TAB,,,,,,,1-1754,,,,,,,,,,,3564,2700
OBAT,PERLK LAIN-LAIN VK,,,,,,,1-1755,,,,,,,,,,,0,0
OBAT,CO AMOXICLAV DRY SYRUP,,,,,,,1-1755,,,,,,,,,,,53460,40500
OBAT,AQUA,,,,,,,1-1756,,,,,,,,,,,3300,2500
ALAT KESEHATAN,SOGEVA STERILIZATION FR 15 CM X 200 M,,,,,,,1-1756,,,,,,,,,,,1669800,1265000
OBAT,HERS,,,,,,,1-1757,,,,,,,,,,,5280,4000
ALAT KESEHATAN,AMBUBAG DEWASA,,,,,,,1-1757,,,,,,,,,,,455400,345000
OBAT,PAMPERS,,,,,,,1-1758,,,,,,,,,,,13200,10000
ALAT KESEHATAN,SOGEVA STERILIZATION FR 10 CM X 200 M,,,,,,,1-1758,,,,,,,,,,,1161600,880000
OBAT,PAMPERS SC,,,,,,,1-1759,,,,,,,,,,,39600,30000
ALAT KESEHATAN,AMBUBAG BAYI,,,,,,,1-1759,,,,,,,,,,,455400,345000
OBAT,CATETER UMBILICAL,,,,,,,1-1760,,,,,,,,,,,99000,75000
ALAT KESEHATAN,ENDO TRACHEAL TUBE 8 RUSH CUFF,,,,,,,1-1760,,,,,,,,,,,87120,66000
OBAT,SEBAMED + WASHLAP,,,,,,,1-1761,,,,,,,,,,,46200,35000
OBAT,INFUSAN -RL 500 ML SINGLE POT,,,,,,,1-1761,,,,,,,,,,,16138.98,12226.5
OBAT,WASHLAP TOWEL,,,,,,,1-1762,,,,,,,,,,,6600,5000
ALAT KESEHATAN,CURASPONT TAMPON,,,,,,,1-1762,,,,,,,,,,,97680,74000
OBAT,SEBAMED PAKET,,,,,,,1-1763,,,,,,,,,,,101640,77000
ALAT KESEHATAN,INTRAFIX SAFESET  IS NF,,,,,,,1-1763,,,,,,,,,,,38115,28875
ALAT KESEHATAN,SAR T TEBAL L,,,,,,,1-1763,,,,,,,,,,,24816,12500
OBAT,SEBAMED CREAM,,,,,,,1-1764,,,,,,,,,,,26400,20000
OBAT,LEVOCIN 500 MG TAB,,,,,,,1-1764,,,,,,,,,,,0,1000
OBAT,SEBAMED SABUN,,,,,,,1-1765,,,,,,,,,,,23100,17500
OBAT,POT R 10,,,,,,,1-1765,,,,,,,,,,,792,600
OBAT,TALI SOTEK,,,,,,,1-1766,,,,,,,,,,,660,500
OBAT,POT R 20,,,,,,,1-1766,,,,,,,,,,,1056,900
OBAT,BATERAI,,,,,,,1-1767,,,,,,,,,,,26400,20000
,SPOON PUYER,,,,,,,1-1767,,,,,,,,,,,49500,37500
