1,'95ad753bceacab599b90a0a39398a8ee',3WAY STOPCOCK NON EXTENSION JMS,,ALKES,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,,,33000,1/1/2018,0:01,31/12/2025,0:00
2,'e42e99bdcb01f7441495b9f3e3c22b99',3WAY STOPCOCK PLUS EXTENSION JMS,,ALKES,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,,,39600,1/1/2018,0:01,31/12/2025,0:00
3,'46de991143ecac01f575f2e92944ec34',ACITRAL LIQUID 120 ML,,SIRUP,TIDAK,TIDAK,YA,TIDAK,TIDAK,TIDAK,TIDAK,,,35200,1/1/2018,0:01,31/12/2025,0:00
4,'e3f61d6874265c33cd000fd3abf56738',ACITRAL TABLET,,TABLET,TIDAK,TIDAK,YA,TIDAK,TIDAK,TIDAK,TIDAK,,,"1182,5",1/1/2018,0:01,31/12/2025,0:00
5,'b26900abe6f28ed95765120cbb48ae5a',ACRAN INJEKSI,,INJEKSI,TIDAK,TIDAK,YA,TIDAK,TIDAK,TIDAK,TIDAK,,,21252,1/1/2018,0:01,31/12/2025,0:00
6,'7629cdb13bc3cc9494b6dffc2e45ef71',ACTIFED PLUS EXPECT SYRUP 60 ML,,SIRUP,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,,,42306,1/1/2018,0:01,31/12/2025,0:00
7,'36d5886f23c4144e4f787624aa9f38f3',ACYCLOVIR 200 MG TABLET,,TABLET,YA,YA,YA,YA,TIDAK,TIDAK,TIDAK,,,366,1/1/2018,0:01,31/12/2025,0:00
8,'0f0149d27812d5ac4fa758d6997945b9',ACYCLOVIR 400 MG TABLET,,TABLET,YA,YA,YA,YA,TIDAK,TIDAK,TIDAK,,,598,1/1/2018,0:01,31/12/2025,0:00
9,'1121fc29e39b4b02b45997c3f6db9133',ACYCLOVIR 5% KRIM 5 G,,CREAM,YA,YA,YA,YA,TIDAK,TIDAK,TIDAK,,,3000,1/1/2018,0:01,31/12/2025,0:00
10,'1230095b6c8511c79c24fde138fa6805',AERIUS TABLET,,TABLET,TIDAK,YA,YA,YA,TIDAK,TIDAK,TIDAK,,,9600,1/1/2018,0:01,31/12/2025,0:00
