OBAT,OBAT RUANG OPERASI VIP+VVIP,,,,,,,1-1821,,,,,,,,,,,528000,400000
OBAT,NUCRAL SUSPENSI 100 ML,,,,,,,1-1821,,,,,,,,,,,70422,53350
OBAT,OBAT RUANG OPERASI,,,,,,,1-1822,,,,,,,,,,,264000,200000
OBAT,SANSULIN LOG-G100 UI,,,,,,,1-1822,,,,,,,,,,,238128,180400
OBAT,OBAT RUANG OPERASI KLS 1 BPJS,,,,,,,1-1823,,,,,,,,,,,1386000,1050000
ALAT KESEHATAN,MUKUS SERENITY,,,,,,,1-1823,,,,,,,,,,,11220,8500
OBAT,OBAT RUANG OPERASI KLS 2 BPJS,,,,,,,1-1824,,,,,,,,,,,1386000,1050000
ALAT KESEHATAN,MUKUS GENERAL CARE,,,,,,,1-1824,,,,,,,,,,,11880,9000
OBAT,OBAT RUANG OPERASI KLS 3 BPJS,,,,,,,1-1825,,,,,,,,,,,1320000,1000000
OBAT,VOMCERAN 8 MG4 ML,,,,,,,1-1825,,,,,,,,,,,72600,55000
OBAT,KAL,,,,,,,1-1826,,,,,,,,,,,6600,5000
OBAT,NEVOX XR 500 MG,,,,,,,1-1826,,,,,,,,,,,2640,2000
OBAT,CITROSOL TAB,,,,,,,1-1827,,,,,,,,,,,13944.48,10564
OBAT,SGM LLM,,,,,,,1-1827,,,,,,,,,,,79860,60500
OBAT,OBAT INSEMINASI,,,,,,,1-1828,,,,,,,,,,,495000,375000
OBAT,PHYSIOGEL 100 ML,,,,,,,1-1828,,,,,,,,,,,121836,92300
OBAT,SAFIL 50 HR 17 70 CM,,,,,,,1-1829,,,,,,,,,,,112200,85000
ALAT KESEHATAN,SUCTION CATHETER 10  HOSPITECH,,,,,,,1-1829,,,,,,,,,,,7986,6050
OBAT,SAFIL 40 HR 17 70 CM,,,,,,,1-1830,,,,,,,,,,,127380,96500
ALAT KESEHATAN,SUCTION CATHETER 8 HOSPITECH,,,,,,,1-1830,,,,,,,,,,,7986,7000
OBAT,SAFIL 30 HR 22 70 CM,,,,,,,1-1831,,,,,,,,,,,141240,107000
OBAT,CETADOP 200 INJ,,,,,,,1-1831,,,,,,,,,,,8131.2,6160
OBAT,SAFIL 20 HR 26 90 CM,,,,,,,1-1832,,,,,,,,,,,120780,91500
,INFUSAN RING-AS 500 ML SINGLE POT,,,,,,,1-1832,,,,,,,,,,,18404.1,13942.5
OBAT,SAFIL 30 HR 26,,,,,,,1-1833,,,,,,,,,,,134640,102000
OBAT,XEPAZYM,,,,,,,1-1833,,,,,,,,,,,3995.19,3026.66
OBAT,PREMILENE 50 DS 16,,,,,,,1-1834,,,,,,,,,,,185937.84,140862
OBAT,MEFUROSAN KRIM 10 G,,,,,,,1-1834,,,,,,,,,,,101349.6,76780
OBAT,PROLINE 50,,,,,,,1-1835,,,,,,,,,,,165000,125000
OBAT,LEGRA 50 MG TABLET,,,,,,,1-1835,,,,,,,,,,,79860,60500
OBAT,ETHRANE 10 CC,,,,,,,1-1836,,,,,,,,,,,66000,50000
OBAT,LEGRA 100 MG TABLET,,,,,,,1-1836,,,,,,,,,,,104544,79200
OBAT,HALOTAN 10 CC,,,,,,,1-1837,,,,,,,,,,,79200,60000
OBAT,NOREPINEPHRINE BITARTRATE INJ,,,,,,,1-1837,,,,,,,,,,,34107.48,25839
OBAT,OBAT OK,,,,,,,1-1838,,,,,,,,,,,198000,150000
ALAT KESEHATAN,SANSULIN PEN,,,,,,,1-1838,,,,,,,,,,,171619,130014.5
OBAT,ISOFLURAN 10 CC,,,,,,,1-1839,,,,,,,,,,,132000,100000
ALAT KESEHATAN,INFUSION SET ANAK COSMO,,,,,,,1-1839,,,,,,,,,,,4392.3,3327.5
OBAT,OXTERCID 750 mg INJEKSI,,,,,,,1-1840,,,,,,,,,,,105705.6,80080
ALAT KESEHATAN,INFUSION SET DEWASA COSMO,,,,,,,1-1840,,,,,,,,,,,5270.76,3993
OBAT,T-VIO 30,,,,,,,1-1841,,,,,,,,,,,120636.12,91391
ALAT KESEHATAN,LAKMUS MERAH MN ASAM,,,,,,,1-1841,,,,,,,,,,,71016,53800
OBAT,KETOROLAC 3%,,,,,,,1-1842,,,,,,,,,,,8127.24,6157
